carteira_id,cliente_id,vendedor_id,data_inicio,data_fim
1,1,1,2024-09-01,
2,2,15,2024-09-01,2026-04-13
3,2,32,2026-04-14,
4,3,42,2024-09-01,
5,4,29,2024-09-01,
6,5,37,2024-09-01,
7,6,5,2025-01-31,
8,7,16,2025-08-07,
9,8,9,2024-09-01,
10,9,4,2024-10-16,
11,10,7,2024-09-01,
12,11,24,2024-09-01,
13,12,11,2024-09-01,2025-03-27
14,12,12,2025-03-28,
15,13,16,2024-09-01,
16,14,26,2024-09-01,
17,15,6,2024-09-01,
18,16,23,2024-09-01,
19,17,26,2025-12-29,
20,18,34,2024-09-01,
21,19,14,2024-09-01,2026-07-20
22,19,37,2026-07-21,
23,20,41,2024-09-01,2025-08-05
24,20,10,2025-08-06,
25,21,14,2024-09-01,
26,22,13,2026-01-09,
27,23,42,2024-09-01,
28,24,3,2024-09-01,
29,25,6,2025-10-24,
30,26,18,2025-07-12,
31,27,26,2024-09-01,
32,28,31,2024-09-01,2026-04-06
33,28,23,2026-04-07,
34,29,31,2024-09-01,2025-03-16
35,29,14,2025-03-17,
36,30,38,2024-09-01,
37,31,36,2024-09-01,
38,32,29,2024-09-01,2025-12-07
39,32,31,2025-12-08,
40,33,15,2024-11-10,2025-02-26
41,33,40,2025-02-27,
42,34,10,2024-09-01,2026-01-26
43,34,3,2026-01-27,
44,35,8,2024-09-01,
45,36,11,2024-09-01,
46,37,1,2026-03-07,
47,38,13,2025-09-13,
48,39,28,2026-03-05,
49,40,41,2024-09-01,
50,41,31,2025-04-27,
51,42,16,2024-09-01,
52,43,35,2024-09-01,
53,44,24,2024-09-01,
54,45,29,2024-09-01,
55,46,24,2024-09-01,
56,47,24,2026-02-26,
57,48,10,2024-09-01,2025-12-14
58,48,17,2025-12-15,
59,49,22,2024-09-01,
60,50,9,2024-09-01,2025-09-05
61,50,8,2025-09-06,
62,51,24,2026-06-11,2026-08-22
63,51,16,2026-08-23,
64,52,33,2024-09-01,
65,53,36,2024-09-01,
66,54,2,2024-09-01,
67,55,20,2025-01-23,
68,56,41,2025-01-19,
69,57,4,2024-09-01,2025-11-01
70,57,15,2025-11-02,
71,58,24,2024-09-01,
72,59,38,2026-01-28,
73,60,24,2024-09-01,2026-02-01
74,60,12,2026-02-02,
75,61,1,2024-09-01,
76,62,21,2024-09-01,
77,63,2,2024-09-01,2025-12-31
78,63,19,2026-01-01,
79,64,9,2024-09-01,2025-04-25
80,64,10,2025-04-26,
81,65,24,2024-09-01,
82,66,16,2024-09-01,
83,67,27,2025-01-17,
84,68,4,2026-03-22,
85,69,6,2024-09-01,2024-11-21
86,69,7,2024-11-22,
87,70,6,2024-09-01,
88,71,41,2024-09-01,
89,72,15,2024-09-01,2025-06-03
90,72,11,2025-06-04,
91,73,16,2024-09-01,
92,74,20,2024-09-01,
93,75,32,2024-09-01,
94,76,17,2024-09-01,
95,77,28,2024-09-01,
96,78,22,2024-09-01,
97,79,9,2024-09-01,
98,80,20,2024-09-01,
99,81,12,2024-09-01,2025-12-08
100,81,15,2025-12-09,
101,82,33,2024-09-01,2025-09-16
