cliente_id,cnpj,razao_social,segmento,cidade,uf,bairro,data_cadastro,ativo
1, 17810801326773 ,Comercial Aurora LTDA ME,Loja de shopping,Curitiba,PR,Aldeota,2022-06-03,S
2,87234309805009,Perfumaria Sublime LTDA,Loja de shopping,Manaus,AM,Moema,2021-12-30,S
3,36193990916998,Aroma Nobre ME,Revendedora autônoma,Campinas,SP,Batel,2022-11-24,S
4,75107991183842,Casa de Fragrâncias Encanto ME,Revendedora autônoma,Porto Alegre,RS,Higienópolis,2022-09-18,S
5, 80841241182449 ,AROMA SERENA EIRELI,Revendedora autônoma,Goiânia,GO,Asa Sul,2023-06-28,S
6,16400524278680,Casa de Fragrâncias Nova Era S/A,Perfumaria,São Paulo,SP,Batel,2025-01-31,N
7,05331586923226,Aroma Vitória EIRELI,Loja de departamento,Salvador,BA,Savassi,2025-08-07,S
8,73375433036541,Aroma Aromas do Sul EIRELI,Loja de departamento,São Paulo,SP,Savassi,2023-02-08,S
9,29401965569816,Perfumaria Sublime S/A,Loja de departamento,Porto Alegre,RS,Meireles,16/10/2024,S
10,59514846564823,Aroma Prime S/A,Loja de departamento,Rio de Janeiro,RJ,Pinheiros,24/04/2022,S
11,44369957773872,Farmácia Vitória EIRELI,Salão de beleza,São Paulo,SP,Meireles,2024-03-12,S
12, 37917693676320 ,DROGARIA SUBLIME LTDA ME,Revendedora autônoma,São Paulo,SP,Barra,2024-01-27,S
13,72.788.957/9868-72,Aroma Dourada S/A,Revendedora autônoma,Rio de Janeiro,RJ,Barra,2022-01-03,S
14,43455812236231,Comercial Bella Vita ME,Quiosque,Rio de Janeiro,RJ,Pinheiros,2022-05-06,S
15,09.670.546/6889-37,Perfumaria Diva EIRELI,Quiosque,Goiânia,GO,Pinheiros,2023-06-10,S
16,29.806.990/1627-20,Loja Nobre EIRELI,Revendedora autônoma,Fortaleza,CE,Pinheiros,2023-03-19,S
17,41.708.053/1003-30,Studio Elegance LTDA ME,Farmácia,Recife,PE,Ipanema,2025-12-29,S
18,12.419.049/6631-93,Aroma Requinte LTDA,E-commerce,Goiânia,GO,Jardins,2024-02-06,S
19,51.850.671/6572-62,Studio Aromas do Sul LTDA ME,E-commerce,Recife,PE,Asa Sul,2021-09-29,S
20,14737996507527,Casa de Fragrâncias Dourada S/A,E-commerce,Curitiba,PR,Asa Sul,2023-06-25,S
21,31.367.837/7701-43,Aroma Nova Era EIRELI,E-commerce,Brasília,DF,Bela Vista,2022-05-27,S
22,85.574.443/1351-82,Bella Nova Era S/A,E-commerce,Manaus,AM,Savassi,2026-01-09,S
23,35240824008427,Loja Rosa dos Ventos LTDA ME,E-commerce,Porto Alegre,RS,Jardins,2024-02-04,S
24, 11671902294131 ,Espaço Beleza Diva LTDA ME,Revendedora autônoma,Fortaleza,CE,Setor Bueno,2021-07-17,S
25,49909133412328,Bella Requinte LTDA ME,Quiosque,Recife,PE,Barra,2025-10-24,S
26,71.349.361/8324-21,Loja Flor de Liz LTDA ME,E-commerce,Porto Alegre,RS,Pinheiros,2025-07-12,S
27, 87719065940139 ,Studio Bella Vita ME,E-commerce,Brasília,DF,Aldeota,2024-07-21,S
28,96717565512567,Espaço Beleza Bella Vita LTDA ME,Loja de departamento,Belo Horizonte,MG,Asa Sul,2023-01-20,S
29,80.876.038/5977-03,LOJA ROSA DOS VENTOS LTDA,E-commerce,Recife,PE,Barra,2023-03-05,S
30,80.861.317/1274-84,Boutique Lumiar S/A,Quiosque,Porto Alegre,RS,Meireles,2022-05-05,S
31,21465840449972,Casa de Fragrâncias Aromas do Sul S/A,Salão de beleza,Brasília,DF,Cambuí,2022-03-02,S
32,39636057662702,Farmácia Lumiar LTDA,Salão de beleza,Manaus,AM,Aldeota,2021-11-08,N
33,62174596158657,Aroma Encanto ME,Revendedora autônoma,Belo Horizonte,MG,Vila Madalena,2024-11-10,S
34,17240050455623,Drogaria Prime LTDA,Loja de shopping,Campinas,SP,Pinheiros,2021-09-10,S
35,79.237.474/0748-21,Aroma Íris EIRELI,E-commerce,Curitiba,PR,Setor Bueno,2022-03-12,S
36,71.369.594/4064-09,Essência Vitória S/A,Quiosque,Recife,PE,Barra,2024-05-24,S
37,42104709521456,Espaço Beleza Sublime EIRELI,Salão de beleza,Goiânia,GO,Asa Sul,2026-03-07,S
38,45.171.236/8516-04,Studio Diva EIRELI,E-commerce,Fortaleza,CE,Barra,2025-09-13,S
39,85931746120047,Comercial Lumiar EIRELI,Loja de shopping,Goiânia,GO,Higienópolis,2026-03-05,S
40,26.179.640/5377-35,Espaço Beleza Serena EIRELI,Salão de beleza,Manaus,AM,Asa Sul,2024-02-11,S
41,71.390.053/2931-83,Drogaria Requinte LTDA,Salão de beleza,Rio de Janeiro,RJ,Batel,2025-04-27,S
42,42102053950240,Bella Essenza LTDA ME,Farmácia,Brasília,DF,Ipanema,2023-12-17,S
43, 78390847007661 ,Farmácia Essenza EIRELI,Quiosque,Rio de Janeiro,RJ,Moema,2021-12-02,S
44,98.569.847/8961-18,Comercial Nobre LTDA ME,Revendedora autônoma,Goiânia,GO,Savassi,2023-06-19,S
45,45271111615280,Comercial Class LTDA ME,Farmácia,Salvador,BA,Jardins,2021-07-09,S
46,45198327315851,Espaço Beleza Requinte S/A,Loja de departamento,Goiânia,GO,Higienópolis,2023-02-09,N
47,40.244.550/2296-12,Comercial Íris LTDA ME,Revendedora autônoma,Campinas,SP,Ipanema,2026-02-26,S
48,99.102.290/1476-79,Espaço Beleza Flor de Liz EIRELI,Revendedora autônoma,Salvador,BA,Setor Bueno,2022-03-11,S
49,78.403.690/0343-24,Loja Íris ME,Perfumaria,Goiânia,GO,Higienópolis,2023-01-18,S
50, 85160607159696 ,Perfumaria Nobre ME,Loja de departamento,Brasília,DF,Aldeota,2022-04-30,S
51,16.136.968/1645-35,Espaço Beleza Sublime ME,Farmácia,Salvador,BA,Ipanema,2026-06-11,S
52,23.124.329/2127-79,Aroma Nobre ME,Salão de beleza,Campinas,SP,Pituba,2021-06-03,S
53,49.058.147/7005-41,Loja Nova Era S/A,Loja de departamento,Porto Alegre,RS,Jardins,01/03/2024,S
54,35.978.207/1518-20,Espaço Beleza Sublime S/A,Quiosque,Goiânia,GO,Ipanema,2023-04-13,S
55,65.905.151/8644-92,Essência Serena LTDA ME,Salão de beleza,Recife,PE,Moema,2025-01-23,S
56,52816850542357,Farmácia Encanto LTDA,Loja de shopping,Recife,PE,Higienópolis,2025-01-19,S
57,05929622292706,Loja Requinte EIRELI,Revendedora autônoma,Brasília,DF,Aldeota,2022-08-17,S
