oportunidade_id,cliente_id,vendedor_id,origem,data_abertura,etapa,probabilidade_pct,valor_estimado,data_fechamento,ciclo_dias,motivo_perda
1,1,1,WhatsApp,2024-11-26,Fechado ganho,100,37991.37,2025-01-06,41,
2,1,1,WhatsApp,2025-12-05,Proposta enviada,50,65392.77,,,
3,1,1,Indicação,2026-02-05,Fechado ganho,100,56800.33,2026-04-09,63,
4,2,15,Inbound site,2024-09-25,Prospecção,10,22450.02,,,
5,2,15,Instagram,2024-12-22,Qualificação,25,56924.49,,,
6,4,29,WhatsApp,2026-04-25,Fechado perdido,0,94128.24,2026-06-08,44,Já compra de outro importador
7,5,37,Instagram,2026-03-30,Qualificação,25,11392.45,,,
8,8,9,Feira de beleza,2026-07-13,Negociação,75,102506.44,,,
9,9,4,WhatsApp,2025-09-12,Qualificação,25,55346.54,,,
10,9,4,Reativação,2026-06-09,Fechado perdido,0,37998.09,2026-08-10,62,Sem contato
11,9,4,WhatsApp,2026-02-26,Negociação,75,56656.73,,,
12,10,7,Prospecção ativa,2025-06-05,Negociação,75,86622.20,,,
13,10,7,Indicação,2025-04-07,Fechado ganho,100,36713.18,2025-04-14,7,
14,10,7,Inbound site,2024-09-27,Fechado ganho,100,86265.29,2024-11-05,39,
15,10,7,Instagram,2024-10-12,Fechado ganho,100,28565.77,2024-11-12,31,
16,11,24,Instagram,2024-11-15,Prospecção,10,52773.65,,,
17,12,12,WhatsApp,2026-01-29,Proposta enviada,50,13007.16,,,
18,12,12,Indicação,2026-02-27,Fechado ganho,100,16871.35,2026-03-10,11,
19,13,16,Indicação,2025-11-01,Proposta enviada,50,86613.18,,,
20,13,16,Indicação,2025-08-12,Fechado ganho,100,26133.33,2025-09-25,44,
21,13,16,Reativação,2025-08-25,Negociação,75,27058.63,,,
22,15,6,WhatsApp,2025-02-27,Prospecção,10,15745.50,,,
23,17,26,Feira de beleza,2026-06-17,Negociação,75,93361.78,,,
24,18,34,Prospecção ativa,2026-05-29,Negociação,75,6857.20,,,
25,18,34,Feira de beleza,2025-05-21,Qualificação,25,51783.59,,,
26,19,14,WhatsApp,2026-01-08,Negociação,75,61375.82,,,
27,19,14,Prospecção ativa,2025-05-14,Qualificação,25,86355.68,,,
28,19,14,Prospecção ativa,2024-11-03,Prospecção,10,56981.59,,,
29,19,14,Instagram,2024-11-29,Proposta enviada,50,55793.11,,,
30,20,41,Prospecção ativa,2024-10-16,Negociação,75,45848.78,,,
31,21,14,Indicação,2024-11-03,Negociação,75,38712.44,,,
32,22,13,Inbound site,2026-07-29,Negociação,75,91957.82,,,
33,22,13,Inbound site,2026-04-26,Qualificação,25,89363.90,,,
34,23,42,Feira de beleza,2026-05-13,Fechado perdido,0,76493.18,2026-06-18,36,Sem verba no momento
