visita_id,cliente_id,vendedor_id,data_visita,resultado,duracao_min
1,1,1,2024-10-11,Sem pedido,29
2,1,1,2024-12-30,Sem pedido,76
3,1,1,2025-01-15,Pedido realizado,55
4,1,1,2025-02-06,Pedido realizado,89
5,1,1,2025-03-17,Sem pedido,64
6,1,1,2025-04-08,Pedido realizado,81
7,1,1,2025-06-19,Pedido realizado,83
8,1,1,2025-08-05,Cliente ausente,89
9,1,1,2025-12-25,Sem pedido,30
10,1,1,2026-01-20,Pedido realizado,63
11,1,1,2026-02-06,Reagendada,62
12,1,1,2026-03-12,Sem pedido,39
13,1,1,2026-04-15,Pedido realizado,88
14,1,1,2026-05-27,Pedido realizado,83
15,1,1,2026-07-16,Reagendada,58
16,1,1,2026-08-10,Cliente ausente,44
17,2,15,2024-11-15,Sem pedido,90
18,2,15,2025-01-09,Sem pedido,37
19,2,15,2025-03-14,Pedido realizado,30
20,2,15,2025-05-05,Reagendada,78
21,2,15,2025-08-27,Cliente ausente,35
22,2,15,2025-09-22,Pedido realizado,37
23,2,15,2025-11-06,Pedido realizado,41
24,2,15,2025-12-29,Reagendada,14
25,2,15,2026-01-20,Reagendada,31
26,2,15,2026-02-18,Pedido realizado,34
27,2,15,2026-04-09,Cliente ausente,51
28,2,32,2026-06-23,Sem pedido,31
29,2,32,2026-07-28,Apenas relacionamento,45
30,2,32,2026-08-17,Sem pedido,37
31,3,42,2024-12-04,Pedido realizado,45
32,3,42,2024-12-24,Pedido realizado,76
33,3,42,2025-02-19,Sem pedido,39
34,3,42,2025-05-28,Apenas relacionamento,10
35,3,42,2025-07-10,Reagendada,77
36,3,42,2025-07-28,Pedido realizado,26
37,3,42,2025-09-01,Pedido realizado,21
38,3,42,2025-10-03,Sem pedido,53
39,3,42,2025-10-28,Sem pedido,63
40,3,42,2025-12-05,Sem pedido,79
41,3,42,2026-01-21,Sem pedido,79
42,3,42,2026-02-06,Sem pedido,36
43,3,42,2026-03-10,Reagendada,82
44,3,42,2026-03-26,Pedido realizado,44
