data_snapshot,sku,saldo,ruptura
2024-09-01,SKU00042,678,N
2024-09-01,SKU00003,566,N
2024-09-01,SKU00229,154,N
2024-09-01,SKU00043,585,N
2024-09-01,SKU00275,793,N
2024-09-01,SKU00165,596,N
2024-09-01,SKU00192,305,N
2024-09-01,SKU00062,202,N
2024-09-01,SKU00163,501,N
2024-09-01,SKU00209,674,N
2024-09-01,SKU00240,107,N
2024-09-01,SKU00111,133,N
2024-09-01,SKU00016,0,S
2024-09-01,SKU00164,337,N
2024-09-01,SKU00286,405,N
2024-09-01,SKU00127,711,N
2024-09-01,SKU00216,0,S
2024-09-01,SKU00073,618,N
2024-09-01,SKU00263,0,S
2024-09-01,SKU00083,382,N
2024-09-01,SKU00054,283,N
2024-09-01,SKU00064,205,N
2024-09-01,SKU00037,728,N
2024-09-01,SKU00170,433,N
2024-09-01,SKU00018,597,N
2024-09-01,SKU00076,0,S
2024-09-01,SKU00198,26,N
2024-09-01,SKU00276,612,N
2024-09-01,SKU00122,569,N
2024-09-01,SKU00007,646,N
2024-09-01,SKU00289,154,N
2024-09-01,SKU00166,664,N
2024-09-01,SKU00197,73,N
2024-09-01,SKU00272,64,N
2024-09-01,SKU00096,124,N
2024-09-01,SKU00095,798,N
2024-09-01,SKU00189,658,N
2024-09-01,SKU00252,615,N
2024-09-01,SKU00236,357,N
2024-09-01,SKU00204,660,N
2024-09-01,SKU00273,425,N
2024-09-01,SKU00208,270,N
2024-09-01,SKU00039,120,N
2024-09-01,SKU00012,34,N
2024-09-01,SKU00152,455,N
2024-09-01,SKU00065,559,N
2024-09-01,SKU00191,16,N
2024-09-01,SKU00245,252,N
2024-09-01,SKU00079,0,S
2024-09-01,SKU00087,220,N
2024-09-01,SKU00068,23,N
2024-09-01,SKU00053,289,N
2024-09-01,SKU00050,792,N
2024-09-01,SKU00147,0,S
2024-09-01,SKU00098,217,N
2024-09-01,SKU00091,742,N
2024-09-01,SKU00232,216,N
2024-09-01,SKU00034,486,N
2024-09-01,SKU00207,248,N
2024-09-01,SKU00219,79,N
2024-09-01,SKU00259,0,S
2024-09-01,SKU00060,500,N
2024-09-01,SKU00078,612,N
2024-09-01,SKU00161,193,N
2024-09-01,SKU00146,580,N
2024-09-01,SKU00047,738,N
2024-09-01,SKU00138,511,N
2024-09-01,SKU00231,5,N
2024-09-01,SKU00167,28,N
2024-09-01,SKU00246,243,N
2024-09-01,SKU00218,198,N
2024-09-01,SKU00023,321,N
2024-09-01,SKU00041,213,N
2024-09-01,SKU00190,617,N
2024-09-01,SKU00285,220,N
2024-09-01,SKU00013,800,N
2024-09-01,SKU00015,297,N
2024-09-01,SKU00242,524,N
2024-09-01,SKU00030,429,N
2024-09-01,SKU00116,0,S
2024-09-08,SKU00225,134,N
2024-09-08,SKU00034,314,N
2024-09-08,SKU00191,776,N
2024-09-08,SKU00146,387,N
2024-09-08,SKU00041,64,N
