item_id,pedido_id,sku,quantidade,preco_praticado,desconto_pct,valor_bruto
1,1,SKU00291,8,37.40,0.00,299.20
2,1,SKU00172,3,35.06,5.00,105.18
3,1,SKU00145,2,50.91,18.00,101.82
4,1,SKU00070,11,150.51,0.00,1655.61
5,2,SKU00151,1,48.92,12.00,48.92
6,2,SKU00281,1,17.17,12.00,17.17
7,2,SKU00020,3,83.97,18.00,251.91
8,2,SKU00279,1,36.03,5.00,36.03
9,2,SKU00244,2,38.37,5.00,76.74
10,3,SKU00148,1,77.03,8.00,77.03
11,3,SKU00007,3,408.18,0.00,1224.54
12,3,SKU00008,1,266.94,12.00,266.94
13,3,SKU00272,1,67.70,0.00,67.70
14,3,SKU00241,9,27.18,3.00,244.62
15,4,SKU00232,5,46.93,5.00,234.65
16,4,SKU00170,2,73.27,3.00,146.54
17,4,SKU00224,3,83.98,0.00,251.94
18,4,SKU00012,1,402.43,0.00,402.43
19,4,SKU00077,3,168.78,12.00,506.34
20,4,SKU00004,3,305.52,0.00,916.56
21,5,SKU00105,10,71.45,5.00,714.50
22,5,SKU00025,5,187.05,3.00,935.25
23,6,SKU00196,1,268.13,0.00,268.13
24,6,SKU00039,1,146.13,3.00,146.13
25,7,SKU00203,1,292.28,3.00,292.28
26,7,SKU00009,3,183.62,8.00,550.86
27,7,SKU00282,5,20.32,12.00,101.60
28,7,SKU00271,10,121.87,3.00,1218.70
29,7,SKU00292,5,45.57,8.00,227.85
30,7,SKU00075,4,255.40,0.00,1021.60
31,8,SKU00065,1,145.50,0.00,145.50
32,8,SKU00025,8,183.19,5.00,1465.52
33,8,SKU00063,1,107.20,12.00,107.20
34,8,SKU00140,1,158.38,0.00,158.38
35,8,SKU00021,1,110.17,0.00,110.17
36,8,SKU00216,1,31.58,0.00,31.58
37,8,SKU00252,1,88.41,12.00,88.41
38,8,SKU00197,3,198.04,3.00,594.12
39,8,SKU00156,11,60.79,3.00,668.69
40,9,SKU00265,8,64.75,0.00,518.00
41,9,SKU00117,1,67.18,8.00,67.18
42,9,SKU00193,1,652.71,5.00,652.71
43,9,SKU00256,1,66.70,5.00,66.70
44,9,SKU00064,5,157.15,12.00,785.75
45,9,SKU00104,3,50.06,5.00,150.18
46,10,SKU00220,1,62.51,5.00,62.51
47,10,SKU00141,1,107.45,0.00,107.45
48,10,SKU00033,1,228.30,12.00,228.30
