pagamento_id,pedido_id,forma_pagamento,parcelas,valor,taxa_pct,valor_liquido,data_vencimento,data_pagamento,status_pagamento
1,1,Boleto 28 dias,1,2161.81,0.00,2161.81,2024-10-02,2024-10-31,Pago com atraso
2,2,PIX,1,430.77,0.00,430.77,2024-12-18,2024-12-18,Pago
3,3,Dinheiro,1,1880.83,0.00,1880.83,2025-04-07,2025-04-14,Pago
4,4,PIX,1,2458.46,0.00,2458.46,2025-08-05,2025-08-08,Pago
5,5,Boleto 28 dias,1,1649.75,0.00,1649.75,2025-12-04,2025-12-04,Pago
6,6,PIX,1,414.26,0.00,414.26,2026-03-26,2026-04-02,Pago
7,7,Boleto 14 dias,1,3412.89,0.00,3412.89,2026-07-11,2026-07-14,Pago
8,8,Boleto 14 dias,1,3369.57,0.00,3369.57,2024-10-11,2024-10-18,Pago
9,9,Boleto 14 dias,1,2240.52,0.00,2240.52,2024-12-10,2024-12-10,Pago
10,10,Cartão de crédito,1,883.60,3.20,855.32,2025-01-14,2025-01-14,Pago
11,11,Cartão de crédito,3,1878.05,3.20,1817.95,2025-02-20,2025-02-23,Pago
12,12,Cartão de crédito,1,3334.74,3.20,3228.03,2025-04-24,2025-04-24,Pago
13,13,Boleto 14 dias,1,7932.57,0.00,7932.57,2025-06-28,2025-06-28,Pago
14,14,Boleto 14 dias,1,4385.51,0.00,4385.51,2025-08-28,2025-08-29,Pago
15,15,PIX,1,3634.47,0.00,3634.47,2025-09-26,2025-09-26,Pago
16,16,PIX,1,3924.81,0.00,3924.81,2025-11-11,2025-11-11,Pago
17,17,Cheque a prazo,1,2413.70,0.00,2413.70,2026-02-18,2026-02-18,Pago
18,18,Cartão de crédito,2,6407.98,3.20,6202.92,2026-03-18,2026-03-21,Pago
19,19,PIX,1,3533.08,0.00,3533.08,2026-04-28,2026-04-28,Pago
20,20,PIX,1,4750.84,0.00,4750.84,2026-06-04,2026-08-01,Pago com atraso
21,21,PIX,1,550.67,0.00,550.67,2026-08-10,2026-08-11,Pago
22,22,Cartão de débito,1,1448.92,1.80,1422.84,2024-09-14,2024-09-14,Pago
23,23,Boleto 28 dias,1,3583.94,0.00,3583.94,2024-12-13,2024-12-13,Pago
24,24,PIX,1,105.67,0.00,105.67,2025-02-11,2025-03-10,Pago com atraso
25,25,Boleto 14 dias,1,843.71,0.00,843.71,2025-05-09,2025-05-09,Pago
26,26,Boleto 28 dias,1,3144.87,0.00,3144.87,2025-09-23,2025-09-24,Pago
27,28,Cheque a prazo,1,875.69,0.00,875.69,2026-04-06,2026-04-07,Pago
28,29,Boleto 28 dias,1,2511.29,0.00,2511.29,2026-07-17,2026-07-17,Pago
29,30,Cartão de débito,1,1739.70,1.80,1708.39,2024-09-22,2024-09-23,Pago
30,31,Boleto 14 dias,1,1425.63,0.00,1425.63,2025-01-03,2025-02-12,Pago com atraso
31,32,Cartão de crédito,2,3164.70,3.20,3063.43,2025-03-21,2025-03-21,Pago
32,33,Boleto 28 dias,1,2135.54,0.00,2135.54,2025-07-22,2025-09-19,Pago com atraso
33,34,PIX,1,2389.92,0.00,2389.92,2025-09-05,2025-09-30,Pago com atraso
34,35,Boleto 28 dias,1,1938.83,0.00,1938.83,2024-10-14,2024-10-14,Pago
35,36,Boleto 14 dias,1,151.01,0.00,151.01,2025-01-14,2025-01-14,Pago
36,37,PIX,1,6942.15,0.00,6942.15,2025-04-09,2025-04-10,Pago
37,38,Boleto 28 dias,1,4703.90,0.00,4703.90,2025-07-07,2025-07-08,Pago
38,39,PIX,1,840.83,0.00,840.83,2025-08-20,2025-08-27,Pago
39,40,Dinheiro,1,966.47,0.00,966.47,2025-11-04,2025-11-07,Pago
40,41,Boleto 28 dias,1,479.08,0.00,479.08,2026-02-16,2026-03-28,Pago com atraso
41,42,Cheque a prazo,1,452.72,0.00,452.72,2026-06-26,2026-06-26,Pago
42,43,Dinheiro,1,218.36,0.00,218.36,2026-08-17,2026-08-17,Pago
43,44,Boleto 28 dias,1,885.62,0.00,885.62,2025-09-08,2025-10-08,Pago com atraso
