pedido_id,cliente_id,vendedor_id,data_pedido,canal,status,valor_total
1,1,1,2024-09-04,Visita,Entregue,2161.81
2,1,1,2024-12-18,Visita,Entregue,430.77
3,1,1,2025-04-07,WhatsApp,Faturado,1880.83
4,1,1,2025-08-05,WhatsApp,Entregue,2458.46
5,1,1,2025-11-06,WhatsApp,Faturado,1649.75
6,1,1,2026-03-26,Telefone,Entregue,414.26
7,1,1,2026-06-27,Visita,Entregue,3412.89
8,2,15,2024-09-27,Visita,Entregue,3369.57
9,2,15,2024-11-26,Telefone,Entregue,2240.52
10,2,15,2025-01-13,Telefone,Faturado,883.60
11,2,15,2025-02-19,App,Entregue,1878.05
12,2,15,2025-04-23,Visita,Entregue,3334.74
13,2,15,2025-06-14,App,Entregue,7932.57
14,2,15,14/08/2025,Visita,Entregue,4385.51
15,2,15,2025-09-26,Visita,Entregue,3634.47
16,2,15,2025-11-11,Visita,Entregue,3924.81
17,2,15,2026-01-14,App,Faturado,2413.70
18,2,15,2026-03-17,Telefone,Entregue,6407.98
19,2,32,2026-04-28,Visita,Faturado,3533.08
20,2,32,2026-06-04,App,Entregue,4750.84
21,2,32,2026-08-10,WhatsApp,Faturado,550.67
22,3,42,2024-09-13,Visita,Faturado,1448.92
23,3,42,2024-11-15,App,Entregue,3583.94
24,3,42,2025-02-11,App,Entregue,105.67
25,3,42,2025-04-25,Visita,Entregue,843.71
26,3,42,2025-08-26,Visita,Entregue,3144.87
27,3,42,2025-11-19,Visita,Cancelado,0.00
28,3,42,2026-03-02,Telefone,Faturado,875.69
29,3,42,2026-06-19,Telefone,Faturado,2511.29
30,4,29,2024-09-21,WhatsApp,Entregue,1739.70
31,4,29,2024-12-20,Visita,Faturado,1425.63
32,4,29,2025-03-20,App,Entregue,3164.70
33,4,29,2025-06-24,Visita,Entregue,2135.54
34,4,29,2025-09-05,App,Entregue,2389.92
35,5,37,2024-09-16,Visita,Entregue,1938.83
36,5,37,2024-12-31,WhatsApp,Faturado,151.01
37,5,37,2025-04-09,App,Entregue,6942.15
38,5,37,09/06/2025,Telefone,Entregue,4703.90
39,5,37,2025-08-20,Telefone,Faturado,840.83
40,5,37,2025-11-04,Visita,Entregue,966.47
41,5,37,19/01/2026,Visita,Faturado,479.08
42,5,37,22/05/2026,App,Faturado,452.72
43,5,37,17/08/2026,Visita,Faturado,218.36
44,7,16,2025-08-11,App,Faturado,885.62
45,7,16,2025-10-28,Visita,Entregue,7348.83
46,7,16,2026-01-14,Visita,Entregue,1065.95
47,7,16,2026-03-30,App,Entregue,506.07
48,7,16,2026-07-17,Visita,Entregue,3264.81
49,8,9,2024-09-13,App,Entregue,9872.83
50,8,9,2024-10-14,WhatsApp,Entregue,9535.67
51,8,9,2024-11-06,Visita,Entregue,8489.83
52,8,9,2024-12-04,App,Faturado,8669.03
53,8,9,15/01/2025,Telefone,Entregue,3603.26
54,8,9,19/02/2025,App,Entregue,5859.87
55,8,9,2025-03-27,WhatsApp,Em separação,12456.02
56,8,9,2025-04-24,Visita,Faturado,10959.82
57,8,9,21/05/2025,WhatsApp,Faturado,9757.74
58,8,9,2025-06-26,Visita,Entregue,14368.86
59,8,9,2025-07-15,Visita,Entregue,5083.49
60,8,9,2025-08-12,Telefone,Entregue,6323.62
61,8,9,2025-09-18,Visita,Faturado,6370.13
62,8,9,2025-10-08,Telefone,Entregue,6888.22
63,8,9,2025-10-24,App,Entregue,22167.56
64,8,9,2025-11-27,App,Faturado,7928.92
65,8,9,2025-12-31,Visita,Faturado,2735.11
66,8,9,2026-01-23,WhatsApp,Entregue,5166.46
67,8,9,2026-02-23,Visita,Entregue,15232.63
68,8,9,2026-03-16,Telefone,Entregue,11296.51
69,8,9,2026-04-20,Visita,Entregue,8780.90
70,8,9,2026-05-25,Visita,Entregue,8090.36
71,8,9,2026-06-24,WhatsApp,Entregue,6709.33
72,8,9,2026-07-13,WhatsApp,Faturado,5878.98
73,8,9,2026-08-17,Visita,Entregue,10720.06
74,9,4,2024-10-24,App,Entregue,6474.04
75,9,4,16/12/2024,App,Entregue,1336.69
76,9,4,2025-02-20,Visita,Entregue,1264.39
77,9,4,24/03/2025,Telefone,Faturado,1462.49
78,9,4,2025-05-28,Telefone,Entregue,2451.09
79,9,4,2025-08-06,Visita,Entregue,2977.17
80,9,4,2025-10-10,WhatsApp,Faturado,6258.01
81,9,4,2025-12-11,Visita,Entregue,1669.15
82,9,4,2026-01-27,WhatsApp,Faturado,1902.14
83,9,4,04/03/2026,App,Faturado,2516.41
84,9,4,2026-04-21,Visita,Faturado,327.48
85,9,4,2026-06-03,WhatsApp,Entregue,3989.03
86,9,4,2026-07-15,Visita,Faturado,807.39
87,9,4,2026-08-26,Telefone,Entregue,2838.37
88,10,7,2024-09-10,Visita,Entregue,3614.84
89,10,7,2024-10-30,Telefone,Entregue,4128.05
90,10,7,2025-01-01,App,Faturado,2282.23
91,10,7,04/03/2025,Visita,Faturado,1562.06
92,10,7,2025-05-16,App,Faturado,1013.90
93,10,7,2025-07-16,Visita,Entregue,748.44
94,10,7,2025-09-03,App,Entregue,2727.35
95,10,7,2025-10-30,Telefone,Faturado,1308.33
96,10,7,2025-12-31,Visita,Faturado,1127.17
97,10,7,2026-02-17,App,Entregue,887.62
98,10,7,2026-04-14,Telefone,Faturado,2111.84
99,10,7,21/05/2026,Visita,Entregue,1738.64
100,10,7,2026-07-03,Visita,Faturado,754.20
101,11,24,2024-09-21,Visita,Entregue,214.60
102,11,24,2024-11-28,Visita,Em separação,1146.58
103,11,24,2025-02-11,Visita,Entregue,363.67
104,11,24,2025-04-09,WhatsApp,Cancelado,0.00
105,11,24,2025-06-05,WhatsApp,Entregue,2508.42
106,11,24,2025-09-17,Telefone,Faturado,7427.50
107,11,24,2025-11-17,App,Entregue,3149.83
108,11,24,2026-03-16,Visita,Entregue,2382.10
109,11,24,2026-06-08,WhatsApp,Faturado,2945.91
110,11,24,2026-08-05,Visita,Em separação,271.12
111,12,11,2024-09-07,Visita,Entregue,677.06
112,12,11,2024-12-20,Visita,Entregue,2078.77
113,12,11,2025-03-19,Visita,Entregue,879.29
114,12,12,2025-07-18,App,Faturado,1087.62
115,12,12,2025-10-08,Visita,Cancelado,0.00
116,12,12,2026-02-04,Telefone,Faturado,1252.92
117,12,12,2026-05-06,App,Entregue,3070.15
118,12,12,2026-08-10,WhatsApp,Faturado,1152.72
119,13,16,2024-09-01,Visita,Faturado,3399.69
120,13,16,2024-11-21,Visita,Entregue,1219.90
121,13,16,2025-03-11,Visita,Entregue,1491.35
122,13,16,2025-05-23,App,Entregue,1435.71
123,13,16,11/09/2025,Telefone,Entregue,677.78
124,13,16,2025-12-22,Visita,Entregue,1449.40
125,13,16,2026-04-29,WhatsApp,Entregue,778.54
126,13,16,2026-08-12,Visita,Entregue,688.32
127,14,26,03/09/2024,Visita,Faturado,2121.97
128,14,26,2024-10-12,Telefone,Faturado,3374.42
129,14,26,2024-12-01,Visita,Entregue,1576.59
130,14,26,2025-02-03,Visita,Entregue,1085.70
131,14,26,2025-03-27,Visita,Em separação,905.62
132,14,26,2025-06-03,Visita,Entregue,8126.51
133,14,26,2025-07-22,App,Entregue,3281.80
134,14,26,2025-09-09,Visita,Entregue,3674.51
135,14,26,2025-11-17,WhatsApp,Entregue,3881.51
136,14,26,2025-12-22,App,Entregue,886.63
137,14,26,2026-02-02,WhatsApp,Cancelado,0.00
138,14,26,2026-03-23,Visita,Faturado,1571.27
139,14,26,2026-06-01,Telefone,Entregue,4288.02
140,14,26,2026-07-24,App,Faturado,1067.45
141,15,6,2024-09-26,App,Entregue,1785.42
