sku,descricao,categoria,marca,nota_olfativa,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00001,Nadir Cardamomo Eau de Parfum KIT 5,Eau de Parfum,Nadir,Cardamomo,199.14,108.56,KIT 5,S,
SKU00002,Sahra Oud Eau de Parfum KIT 3,Eau de Parfum,Sahra,Oud,337.35,178.83,KIT 3,S,
SKU00003,Mizan Cedro Eau de Parfum KIT 5,Eau de Parfum,Mizan,Cedro,318.50,179.09,KIT 5,S,2025-04-07
SKU00004,Rihan Jasmim Eau de Parfum DISPLAY 24,Eau de Parfum,Rihan,Jasmim,305.52,171.61,DISPLAY 24,S,2025-07-31
SKU00005,Layali Rosa Eau de Parfum CX 12,Eau de Parfum,Layali,Rosa,406.21,216.43,CX 12,S,
SKU00006,Nadir Patchouli Eau de Parfum KIT 5,Eau de Parfum,Nadir,Patchouli,253.89,142.89,KIT 5,S,2025-01-18
SKU00007,Sahra Açafrão Eau de Parfum DISPLAY 24,Eau de Parfum,Sahra,Açafrão,408.18,240.99,DISPLAY 24,S,2025-03-08
SKU00008,Dahab Oud Eau de Parfum UN,Eau de Parfum,Dahab,Oud,303.34,163.68,UN,S,2025-02-15
SKU00009,Qamar Oud Eau de Parfum KIT 5,Eau de Parfum,Qamar,Oud,199.59,105.72,KIT 5,S,
SKU00010,Mizan Sândalo Eau de Parfum KIT 3,Eau de Parfum,Mizan,Sândalo,172.64,98.69,KIT 3,S,
SKU00011,Layali Sândalo Eau de Parfum UN,Eau de Parfum,Layali,Sândalo,240.83,135.85,UN,S,
SKU00012,Nadir Açafrão Eau de Parfum CX 6,Eau de Parfum,Nadir,Açafrão,402.43,235.56,CX 6,S,
SKU00013,Qamar Incenso Eau de Parfum KIT 3,Eau de Parfum,Qamar,Incenso,178.92,100.06,KIT 3,S,2026-05-24
SKU00014,Nadir Cardamomo Eau de Parfum KIT 5,Eau de Parfum,Nadir,Cardamomo,138.17,77.26,KIT 5,S,
SKU00015,Layali Âmbar Eau de Parfum UN,Eau de Parfum,Layali,Âmbar,152.98,86.04,UN,S,
SKU00016,Rihan Baunilha Eau de Parfum UN,Eau de Parfum,Rihan,Baunilha,393.67,234.00,UN,S,
SKU00017,Layali Incenso Eau de Parfum KIT 3,Eau de Parfum,Layali,Incenso,305.41,182.43,KIT 3,S,2024-11-18
SKU00018,Layali Patchouli Eau de Parfum UN,Eau de Parfum,Layali,Patchouli,254.59,135.95,UN,S,
SKU00019,Nadir Cardamomo Eau de Parfum DISPLAY 24,Eau de Parfum,Nadir,Cardamomo,342.78,180.71,DISPLAY 24,S,
SKU00020,Layali Patchouli Eau de Parfum DISPLAY 24,Eau de Parfum,Layali,Patchouli,102.40,58.04,DISPLAY 24,S,
SKU00021,Sahra Incenso Eau de Parfum DISPLAY 24,Eau de Parfum,Sahra,Incenso,110.17,58.35,DISPLAY 24,S,
SKU00022,Rihan Patchouli Eau de Parfum DISPLAY 24,Eau de Parfum,Rihan,Patchouli,297.06,157.96,DISPLAY 24,S,
SKU00023,Sahra Jasmim Eau de Parfum UN,Eau de Parfum,Sahra,Jasmim,116.30,65.97,UN,S,
SKU00024,Dahab Açafrão Eau de Parfum DISPLAY 24,Eau de Parfum,Dahab,Açafrão,409.27,219.10,DISPLAY 24,S,
SKU00025,Layali Patchouli Eau de Parfum UN,Eau de Parfum,Layali,Patchouli,192.83,106.29,UN,S,
SKU00026,Nadir Sândalo Eau de Parfum DISPLAY 24,Eau de Parfum,Nadir,Sândalo,313.83,164.04,DISPLAY 24,S,
SKU00027,Rihan Patchouli Eau de Parfum KIT 5,Eau de Parfum,Rihan,Patchouli,272.93,153.93,KIT 5,S,
SKU00028,Mizan Cardamomo Eau de Parfum KIT 5,Eau de Parfum,Mizan,Cardamomo,106.70,60.06,KIT 5,S,
SKU00029,Qamar Almíscar Eau de Parfum UN,Eau de Parfum,Qamar,Almíscar,144.11,74.97,UN,S,
SKU00030,Nadir Almíscar Eau de Parfum CX 6,Eau de Parfum,Nadir,Almíscar,134.71,71.54,CX 6,S,
SKU00031,Dahab Cedro Eau de Parfum UN,Eau de Parfum,Dahab,Cedro,263.12,139.43,UN,S,
SKU00032,Sahra Âmbar Eau de Parfum KIT 3,Eau de Parfum,Sahra,Âmbar,380.70,223.46,KIT 3,S,
SKU00033,Nadir Cardamomo Eau de Parfum KIT 3,Eau de Parfum,Nadir,Cardamomo,259.43,154.77,KIT 3,S,
SKU00034,Sahra Jasmim Eau de Parfum UN,Eau de Parfum,Sahra,Jasmim,132.18,77.01,UN,N,
SKU00035,Qamar Rosa Eau de Parfum KIT 3,Eau de Parfum,Qamar,Rosa,323.44,180.53,KIT 3,N,
SKU00036,Qamar Incenso Eau de Parfum DISPLAY 24,Eau de Parfum,Qamar,Incenso,326.88,175.81,DISPLAY 24,S,
SKU00037,Mizan Rosa Eau de Parfum UN,Eau de Parfum,Mizan,Rosa,308.94,161.69,UN,S,
SKU00038,Nadir Almíscar Eau de Parfum KIT 5,Eau de Parfum,Nadir,Almíscar,321.68,175.65,KIT 5,S,
